-0.68,4.89E-12,-0.68,4.20E-12,,,,
-0.72,1.09E-11,-0.72,1.59E-12,,,,
-0.76,1.10E-11,-0.76,1.28E-11,,,,
-0.8,5.40E-12,-0.8,4.83E-12,,,,
-0.84,9.66E-12,-0.84,1.00E-11,,,,
-0.88,1.41E-11,-0.88,1.92E-11,,,,
-0.92,8.47E-12,-0.92,5.09E-12,,,,
-0.96,2.76E-12,-0.96,1.31E-11,,,,
-1,1.19E-11,-1,1.62E-11,,,,
,,,,,,,
,,,,,,,
