0.92,4.39e-12,0.92,1.21e-11,0.92,1.0550206027236317e-10
0.88,1.98e-11,0.88,4.66e-12,0.88,8.811055606074143e-11
0.84,7.3e-13,0.84,1.16e-11,0.84,1.0715116826758042e-10
0.8,2.15e-12,0.8,4.86e-12,0.8,7.523869767581701e-11
0.76,1.13e-11,0.76,5.86e-12,0.76,4.811999768059653e-11
0.72,1.06e-11,0.72,1.15e-11,0.72,9.991405604041368e-11
0.68,2.64e-12,0.68,1.87e-12,0.68,9.300960861566202e-11
0.64,8.8e-12,0.64,4.71e-12,0.64,1.6999932890844176e-11
0.6,1.11e-11,0.6,1.11e-11,0.6,9.522952922229648e-11
0.56,5.72e-12,0.56,5.53e-12,0.56,2.016638298120572e-11
0.52,7.85e-12,0.52,1.9e-12,0.52,6.965365098318827e-11
0.48,1.24e-11,0.48,9.78e-12,0.48,6.114840652647208e-11
0.44,8.94e-12,0.44,8.74e-12,0.44,2.4024467674941014e-11
0.4,4.58e-12,0.4,2.04e-12,0.4,8.260531629130186e-11
0.36,6.69e-12,0.36,7.32e-12,0.36,3.579293365786883e-11
0.32,1.2e-11,0.32,9.41e-12,0.32,5.334777267358806e-11
0.28,2.06e-12,0.28,6e-12,0.28,2.723249399052958e-11
0.24,6.55e-12,0.24,3.79e-12,0.24,6.603809891901621e-11
0.2,1.13e-11,0.2,8.9e-12,0.2,1.0701579080733772e-10
0.16,4.52e-12,0.16,8.58e-12,0.16,8.631822938472845e-11
0.12,1.63e-12,0.12,6.2e-13,0.12,7.697475898596914e-11
0.08,8.9e-12,0.08,6.64e-12,0.08,1.0540732915414298e-10
0.04,9.8e-12,0.04,1.1e-11,0.04,8.777529347707621e-11
0.0,3.55e-12,0.0,4.72e-12,0.0,1.0280839882473011e-10
-0.04,8.65e-12,-0.04,3.97e-12,-0.04,7.565885175876338e-11
-0.08,1.27e-11,-0.08,1.09e-11,-0.08,8.513146372290699e-11
-0.12,4.51e-12,-0.12,6.36e-12,-0.12,2.279586926446041e-11
-0.16,6e-12,-0.16,1e-13,-0.16,9.569921382429936e-11
-0.2,1.56e-11,-0.2,9.73e-12,-0.2,9.587255761540017e-11
-0.24,9.6e-12,-0.24,8.51e-12,-0.24,9.452417215125021e-11
-0.28,3.87e-12,-0.28,3.72e-12,-0.28,9.072893397994676e-11
-0.32,1.01e-11,-0.32,6.6e-12,-0.32,2.774662467160195e-11
-0.36,9.3e-12,-0.36,9.51e-12,-0.36,8.290356862741987e-11
-0.4,9.6e-13,-0.4,7.42e-12,-0.4,1.3397872236932887e-11
-0.44,6.9e-12,-0.44,3.62e-12,-0.44,8.637134733830281e-11
-0.48,1.59e-11,-0.48,7.23e-12,-0.48,2.232372393492133e-11
-0.52,2.65e-12,-0.52,1.04e-11,-0.52,9.68121941794651e-11
-0.56,3.42e-12,-0.56,8e-14,-0.56,9.567117014654357e-11
-0.6,1.34e-11,-0.6,4.75e-12,-0.6,1.1024781095347387e-10
-0.64,8.12e-12,-0.64,1.14e-11,-0.64,4.4206224990920943e-11
-0.68,4.89e-12,-0.68,4.2e-12,-0.68,2.9315122676643845e-11
-0.72,1.09e-11,-0.72,1.59e-12,-0.72,3.153400001359066e-11
-0.76,1.1e-11,-0.76,1.28e-11,-0.76,3.360616826469054e-11
-0.8,5.4e-12,-0.8,4.83e-12,-0.8,1.603115132693911e-11
-0.84,9.66e-12,-0.84,1e-11,-0.84,2.3409530599427475e-11
-0.88,1.41e-11,-0.88,1.92e-11,-0.88,4.3148666868748894e-11
-0.92,8.47e-12,-0.92,5.09e-12,-0.92,1.1798558951189131e-11
-0.96,2.76e-12,-0.96,1.31e-11,-0.96,5.3112745651184624e-11
-1.0,1.19e-11,-1.0,1.62e-11,-1.0,6.937699995793749e-11
nan,nan,nan,nan,nan,nan
